6.jpg originAngle =  : -20.839084876675706
7.jpg originAngle =  : -26.74957800933948
8.jpg originAngle =  : -29.3140940799336
9.jpg originAngle =  : 17.469873830377
10.jpg originAngle =  : 43.64414002389335
11.jpg originAngle =  : 40.442580980285996
12.jpg originAngle =  : 4.04958170327138
13.jpg originAngle =  : -4.7078522443722255
14.jpg originAngle =  : -32.3944226456154
15.jpg originAngle =  : -27.66323832781802
16.jpg originAngle =  : 24.851585859712173
17.jpg originAngle =  : 80.9723870492849
18.jpg originAngle =  : 35.63061490351252
19.jpg originAngle =  : 17.136274503575986
20.jpg originAngle =  : -20.750795589598624
21.jpg originAngle =  : -46.459449354992266
22.jpg originAngle =  : -82.96205923681532
23.jpg originAngle =  : -3.2581029940031887
24.jpg originAngle =  : 11.579615366756176
25.jpg originAngle =  : 21.828321546144913
26.jpg originAngle =  : 22.40540888336535
27.jpg originAngle =  : 8.242520351518873
28.jpg originAngle =  : -32.788491623524024
29.jpg originAngle =  : -61.29991071686427
30.jpg originAngle =  : -20.656282660204226
31.jpg originAngle =  : -19.152389779403745
32.jpg originAngle =  : 44.25594079711129
33.jpg originAngle =  : 77.47119229084848
34.jpg originAngle =  : 15.492602102266165
35.jpg originAngle =  : 10.455657560305083
36.jpg originAngle =  : 10.455657560305083
37.jpg originAngle =  : 10.455657560305083
38.jpg originAngle =  : 10.455657560305083
