1.jpg originAngle =  : -6.6473414360392145
2.jpg originAngle =  : 0.9548412538721889
3.jpg originAngle =  : 3.074916930615924
4.jpg originAngle =  : 3.517854395801778
5.jpg originAngle =  : 0.4774537773095774
6.jpg originAngle =  : -2.1037969468510687
7.jpg originAngle =  : -0.4476141708605531
8.jpg originAngle =  : 1.670653271399968
9.jpg originAngle =  : 4.34002072596443
10.jpg originAngle =  : 5.194428907734806
11.jpg originAngle =  : 0.49391689861875576
12.jpg originAngle =  : -1.2960634980171206
13.jpg originAngle =  : 0.7472938768260555
14.jpg originAngle =  : 2.6242200277820564
15.jpg originAngle =  : 3.9692634567195
16.jpg originAngle =  : -0.9588356612495073
17.jpg originAngle =  : -3.6913859864512757
18.jpg originAngle =  : 1.123302714075429
19.jpg originAngle =  : 2.4309083370404045
20.jpg originAngle =  : -1.0758506207912717
21.jpg originAngle =  : -4.066318774805974
22.jpg originAngle =  : -2.602562202499806
23.jpg originAngle =  : 0.0
24.jpg originAngle =  : 0.0
25.jpg originAngle =  : 0.0
26.jpg originAngle =  : 0.2850512775838264
27.jpg originAngle =  : -0.8425242607404145
28.jpg originAngle =  : -5.171052418002492
29.jpg originAngle =  : -6.425158237525625
30.jpg originAngle =  : -3.7313969991604465
31.jpg originAngle =  : -6.995192297257997
32.jpg originAngle =  : -7.253194612725333
33.jpg originAngle =  : -13.305236506091088
34.jpg originAngle =  : -9.706652409339712
35.jpg originAngle =  : 10.375844920051051
36.jpg originAngle =  : 11.136309431181726
37.jpg originAngle =  : -29.263864598541044
38.jpg originAngle =  : -44.99999999999999
39.jpg originAngle =  : -11.842076115327766
40.jpg originAngle =  : 33.02386755579665
41.jpg originAngle =  : 52.507346666949665
42.jpg originAngle =  : 51.88642733143198
43.jpg originAngle =  : 6.750539462178973
44.jpg originAngle =  : 13.790866897360983
45.jpg originAngle =  : 30.34324888423958
46.jpg originAngle =  : 12.847704858717666
47.jpg originAngle =  : -5.9061411137705
48.jpg originAngle =  : -6.795944016018951
49.jpg originAngle =  : -13.89717631501536
50.jpg originAngle =  : -84.42780219603625
51.jpg originAngle =  : 61.07357416474639
52.jpg originAngle =  : 79.33021719550335
53.jpg originAngle =  : 88.59597278089561
54.jpg originAngle =  : 75.57922687248902
62.jpg originAngle =  : 84.13749618130551
63.jpg originAngle =  : 71.39993411396694
75.jpg originAngle =  : 65.45236133074873
76.jpg originAngle =  : 79.23001176738292
77.jpg originAngle =  : 6.831005949351525
78.jpg originAngle =  : -61.55707137563666
79.jpg originAngle =  : -87.42085249971659
80.jpg originAngle =  : -39.69489039378963
81.jpg originAngle =  : -22.380135051959577
82.jpg originAngle =  : 31.19723437386381
83.jpg originAngle =  : 86.74112569366622
84.jpg originAngle =  : 42.33486507445558
85.jpg originAngle =  : 44.62056329858102
86.jpg originAngle =  : 23.598107621755332
87.jpg originAngle =  : 31.17697748110687
88.jpg originAngle =  : 44.32117181732871
89.jpg originAngle =  : 71.56505117707799
90.jpg originAngle =  : 61.84380855172743
91.jpg originAngle =  : 33.427682359946644
92.jpg originAngle =  : 34.87799016943247
93.jpg originAngle =  : 40.33500013125305
94.jpg originAngle =  : 40.25150790688827
95.jpg originAngle =  : -39.680106082193156
96.jpg originAngle =  : -39.680106082193156
