1.jpg originAngle =  : -6.697244328945823
2.jpg originAngle =  : 0.7161599454704085
3.jpg originAngle =  : 3.10049144980778
4.jpg originAngle =  : 3.5468536574996463
5.jpg originAngle =  : 0.48146580583835247
6.jpg originAngle =  : -2.1124112702290994
7.jpg originAngle =  : -0.45113854678728116
8.jpg originAngle =  : 1.6846843178962916
9.jpg originAngle =  : 4.378968607752392
10.jpg originAngle =  : 5.216889031834481
11.jpg originAngle =  : 0.498211612613642
12.jpg originAngle =  : -1.3078956016637844
13.jpg originAngle =  : 1.0095127826163905
14.jpg originAngle =  : 2.657390682905489
15.jpg originAngle =  : 4.253836436119192
16.jpg originAngle =  : -0.9669255716443015
17.jpg originAngle =  : -3.4442025146532766
18.jpg originAngle =  : 1.1288347966606405
19.jpg originAngle =  : 2.442415310657095
20.jpg originAngle =  : -1.091216225262598
21.jpg originAngle =  : -4.105098513162575
22.jpg originAngle =  : -2.629081885638656
23.jpg originAngle =  : 0.2953364539470411
24.jpg originAngle =  : 0.31308857502065557
25.jpg originAngle =  : 0.0
26.jpg originAngle =  : 0.2864765102770745
27.jpg originAngle =  : -0.5758175932449805
28.jpg originAngle =  : -5.2418199469795566
29.jpg originAngle =  : -6.225829064425769
30.jpg originAngle =  : -3.7930642816886424
31.jpg originAngle =  : -7.08121224465871
32.jpg originAngle =  : -7.253194612725333
33.jpg originAngle =  : -13.480889814932791
34.jpg originAngle =  : -9.587833024818647
35.jpg originAngle =  : 10.447817549473923
36.jpg originAngle =  : 11.222458069444833
37.jpg originAngle =  : -29.690726512016813
38.jpg originAngle =  : -44.99999999999999
39.jpg originAngle =  : -11.842076115327766
40.jpg originAngle =  : 32.92233083763577
41.jpg originAngle =  : 52.507346666949665
42.jpg originAngle =  : 51.88642733143198
43.jpg originAngle =  : 6.750539462178973
44.jpg originAngle =  : 13.790866897360983
45.jpg originAngle =  : 30.34324888423958
46.jpg originAngle =  : 13.069317896282179
47.jpg originAngle =  : -7.853313301978219
48.jpg originAngle =  : -6.831005949351525
49.jpg originAngle =  : -13.89717631501536
50.jpg originAngle =  : -84.42780219603625
51.jpg originAngle =  : 11.976132444203355
52.jpg originAngle =  : 79.33021719550335
53.jpg originAngle =  : 88.87669728592437
54.jpg originAngle =  : 75.899881664987
63.jpg originAngle =  : 71.39993411396694
75.jpg originAngle =  : 68.52706394742096
76.jpg originAngle =  : 79.23001176738292
77.jpg originAngle =  : 6.866429802497711
78.jpg originAngle =  : -60.91114857713949
79.jpg originAngle =  : -87.17603971075764
80.jpg originAngle =  : -39.51156069271492
81.jpg originAngle =  : -22.380135051959577
82.jpg originAngle =  : 31.57177055177729
83.jpg originAngle =  : 86.0468204982027
84.jpg originAngle =  : 42.06432655357882
86.jpg originAngle =  : 23.66956022353267
87.jpg originAngle =  : 29.21437998026842
88.jpg originAngle =  : 45.13641826486853
89.jpg originAngle =  : 71.56505117707799
90.jpg originAngle =  : 61.84380855172743
91.jpg originAngle =  : 33.49940007834755
92.jpg originAngle =  : 34.87799016943247
93.jpg originAngle =  : 40.33500013125305
94.jpg originAngle =  : 40.25150790688827
95.jpg originAngle =  : -39.8055710922652
96.jpg originAngle =  : -39.8055710922652
