56.jpg originAngle =  : -17.90032254012768
59.jpg originAngle =  : -22.847668922214098
60.jpg originAngle =  : -23.807894544421927
61.jpg originAngle =  : -25.16230274246989
66.jpg originAngle =  : -25.343222703481544
67.jpg originAngle =  : -25.474101297632632
69.jpg originAngle =  : -25.924123180340754
70.jpg originAngle =  : -27.054254884941578
71.jpg originAngle =  : -24.94915910592171
72.jpg originAngle =  : -25.34617594194669
74.jpg originAngle =  : -24.582195999480074
75.jpg originAngle =  : -25.654356815444995
76.jpg originAngle =  : -25.366919176447272
77.jpg originAngle =  : -25.10417090770026
78.jpg originAngle =  : -24.73950886974813
79.jpg originAngle =  : -24.357989684362803
80.jpg originAngle =  : -24.5621123884386
81.jpg originAngle =  : -24.20974004556313
82.jpg originAngle =  : -20.872039723529063
83.jpg originAngle =  : -23.0192054406892
84.jpg originAngle =  : -19.919186307582343
85.jpg originAngle =  : -22.840439159769076
86.jpg originAngle =  : -18.81116135807175
87.jpg originAngle =  : -11.455185348978222
88.jpg originAngle =  : -10.949754204145405
89.jpg originAngle =  : -18.457894668516712
90.jpg originAngle =  : -18.063506509551207
91.jpg originAngle =  : -17.371850187374175
92.jpg originAngle =  : -20.89517515662293
93.jpg originAngle =  : -16.882860383742585
94.jpg originAngle =  : -16.00986974412918
95.jpg originAngle =  : -7.178840456613228
96.jpg originAngle =  : -15.790841186548262
97.jpg originAngle =  : -15.41945332273383
98.jpg originAngle =  : -15.043803674180916
99.jpg originAngle =  : -14.83367070569857
100.jpg originAngle =  : -14.015077684067307
101.jpg originAngle =  : -13.250821205891217
102.jpg originAngle =  : -12.857118184949467
105.jpg originAngle =  : -11.074471691970137
106.jpg originAngle =  : -10.258751724476465
107.jpg originAngle =  : -18.098907048459008
108.jpg originAngle =  : -17.926043365102288
109.jpg originAngle =  : -17.793604943979478
110.jpg originAngle =  : -17.72656951081037
111.jpg originAngle =  : -17.65605116513636
113.jpg originAngle =  : -17.26670892956152
116.jpg originAngle =  : -14.052387671363157
117.jpg originAngle =  : -13.17945736105864
118.jpg originAngle =  : -13.094924426680034
119.jpg originAngle =  : -12.375961098943675
120.jpg originAngle =  : -11.892132827634699
121.jpg originAngle =  : -11.895649592920067
122.jpg originAngle =  : -12.099522987790753
123.jpg originAngle =  : -12.469171218053788
124.jpg originAngle =  : -12.573904732119832
125.jpg originAngle =  : -12.665063765042362
126.jpg originAngle =  : -13.168192018180937
127.jpg originAngle =  : -13.98484176564619
128.jpg originAngle =  : -14.917647464508615
129.jpg originAngle =  : -14.521642392459706
130.jpg originAngle =  : -15.028505067927293
131.jpg originAngle =  : -16.104164540650817
132.jpg originAngle =  : -17.012028956192164
133.jpg originAngle =  : -18.11176896545309
134.jpg originAngle =  : -19.013674388529775
135.jpg originAngle =  : -20.083460275021977
136.jpg originAngle =  : -21.14349643822733
137.jpg originAngle =  : -22.323765364371624
138.jpg originAngle =  : -23.811928870429096
139.jpg originAngle =  : -25.07071758581145
140.jpg originAngle =  : -26.398976918946914
141.jpg originAngle =  : -28.02450053207026
142.jpg originAngle =  : -30.21375477677865
143.jpg originAngle =  : -31.306688825100025
144.jpg originAngle =  : -32.43711470990657
145.jpg originAngle =  : -33.8337685706354
146.jpg originAngle =  : -35.20342049194647
147.jpg originAngle =  : -36.76708553968619
148.jpg originAngle =  : -39.012568278335365
149.jpg originAngle =  : -41.27413508342477
150.jpg originAngle =  : -42.35589236362625
151.jpg originAngle =  : -43.38361682777478
152.jpg originAngle =  : -44.141889494456095
159.jpg originAngle =  : -24.638856573402435
160.jpg originAngle =  : -26.595080408874047
161.jpg originAngle =  : -29.25538491933805
163.jpg originAngle =  : -28.025449294771164
166.jpg originAngle =  : -33.38959558807507
167.jpg originAngle =  : -32.84566917757132
168.jpg originAngle =  : -29.13001613750569
169.jpg originAngle =  : -28.317081675099537
170.jpg originAngle =  : -24.24766636501274
171.jpg originAngle =  : -24.918913419219994
172.jpg originAngle =  : -26.204530701031324
173.jpg originAngle =  : -26.759650359225716
174.jpg originAngle =  : -27.344158969680787
175.jpg originAngle =  : -27.76143798560942
176.jpg originAngle =  : -28.70465529025953
177.jpg originAngle =  : -29.482941948864347
178.jpg originAngle =  : -29.713981594119886
179.jpg originAngle =  : -31.02746567503085
180.jpg originAngle =  : -31.03826335550281
181.jpg originAngle =  : -32.853567609304385
182.jpg originAngle =  : -33.05499951352788
183.jpg originAngle =  : -33.53544660729415
184.jpg originAngle =  : -34.546698959484665
185.jpg originAngle =  : -35.1790458988302
186.jpg originAngle =  : -35.731802541302294
187.jpg originAngle =  : -36.237163568916884
188.jpg originAngle =  : -36.41064755014692
189.jpg originAngle =  : -33.90539672020162
190.jpg originAngle =  : -19.939985311184234
191.jpg originAngle =  : -35.9224099627394
192.jpg originAngle =  : -36.96055544916335
193.jpg originAngle =  : -38.549681956952206
194.jpg originAngle =  : -38.93139787145273
195.jpg originAngle =  : -32.59830418327869
196.jpg originAngle =  : -34.344188367992345
197.jpg originAngle =  : -35.706691400602885
199.jpg originAngle =  : -35.026857514601886
200.jpg originAngle =  : -35.57890370190772
201.jpg originAngle =  : -38.43905889554057
202.jpg originAngle =  : -40.783740453766896
203.jpg originAngle =  : -41.88325582949976
204.jpg originAngle =  : -38.082482171787476
205.jpg originAngle =  : -40.752135339988065
206.jpg originAngle =  : -42.05772032975095
207.jpg originAngle =  : -79.26280873985601
208.jpg originAngle =  : -71.11391263029071
209.jpg originAngle =  : -77.59669061158266
210.jpg originAngle =  : -74.80475147318012
211.jpg originAngle =  : -81.10745129175186
212.jpg originAngle =  : -82.85948573978746
213.jpg originAngle =  : -87.77943937169728
214.jpg originAngle =  : -83.91147184580477
215.jpg originAngle =  : -76.24549479533128
216.jpg originAngle =  : -87.73814670956011
217.jpg originAngle =  : -81.29152612504514
218.jpg originAngle =  : -64.71429451529808
219.jpg originAngle =  : -87.1145497154978
220.jpg originAngle =  : -83.58265958503323
221.jpg originAngle =  : -43.339717631017194
222.jpg originAngle =  : -40.165061684678804
223.jpg originAngle =  : -38.81265934513652
224.jpg originAngle =  : -38.75162833496177
225.jpg originAngle =  : -37.97870977360395
226.jpg originAngle =  : -38.99372280277932
227.jpg originAngle =  : -39.304977777828526
228.jpg originAngle =  : -39.20118772637084
229.jpg originAngle =  : -34.2751402478165
230.jpg originAngle =  : -35.70075831793661
231.jpg originAngle =  : -37.44532450967703
232.jpg originAngle =  : -38.03653147351196
233.jpg originAngle =  : -37.76975736074843
234.jpg originAngle =  : -35.56508766686301
235.jpg originAngle =  : -30.84876789341787
236.jpg originAngle =  : -31.16172261294583
237.jpg originAngle =  : -23.151787894166603
238.jpg originAngle =  : -23.565395870581973
239.jpg originAngle =  : -23.20771259278033
240.jpg originAngle =  : -21.426932599628987
241.jpg originAngle =  : -21.218717690420757
242.jpg originAngle =  : -21.78895117397736
243.jpg originAngle =  : -24.792992501425474
244.jpg originAngle =  : -33.37718009605938
245.jpg originAngle =  : -35.32245451845955
246.jpg originAngle =  : -23.509350256223414
247.jpg originAngle =  : -25.578321638612643
248.jpg originAngle =  : -38.37838682304824
249.jpg originAngle =  : -39.601883799209375
250.jpg originAngle =  : -37.72300581253431
251.jpg originAngle =  : -39.544217818878145
252.jpg originAngle =  : -41.57612875506932
253.jpg originAngle =  : -40.20410322945002
254.jpg originAngle =  : -42.16469636516169
255.jpg originAngle =  : -43.60281897270362
256.jpg originAngle =  : -40.171763320279034
257.jpg originAngle =  : -39.38661364580796
258.jpg originAngle =  : -39.603048293473684
259.jpg originAngle =  : -40.33212182222267
260.jpg originAngle =  : -40.11568135319569
261.jpg originAngle =  : -40.20435205160297
262.jpg originAngle =  : -42.742947771527405
263.jpg originAngle =  : -42.25738864251841
264.jpg originAngle =  : -44.27336078071797
265.jpg originAngle =  : -46.162026846521385
266.jpg originAngle =  : -48.81407483429036
267.jpg originAngle =  : -51.819480552903876
268.jpg originAngle =  : -57.87698844380605
269.jpg originAngle =  : -56.81059284514153
270.jpg originAngle =  : -64.62111832429892
271.jpg originAngle =  : -63.76668246641295
272.jpg originAngle =  : -68.8209483052073
273.jpg originAngle =  : -68.81747339075577
274.jpg originAngle =  : -5.52098482051742
275.jpg originAngle =  : -5.873403344368429
276.jpg originAngle =  : -12.919602721772652
277.jpg originAngle =  : -7.976340148279592
278.jpg originAngle =  : -12.361595529539455
279.jpg originAngle =  : -14.88870058311976
280.jpg originAngle =  : -16.389540334034784
281.jpg originAngle =  : -18.86821797492026
282.jpg originAngle =  : -20.799499463403265
283.jpg originAngle =  : -22.043417675488357
284.jpg originAngle =  : -24.75721743513545
285.jpg originAngle =  : -24.969884781266806
286.jpg originAngle =  : -27.106098618753023
287.jpg originAngle =  : -29.497150784961317
288.jpg originAngle =  : -31.3309648869763
289.jpg originAngle =  : -30.42406093151695
290.jpg originAngle =  : -29.938338455453817
291.jpg originAngle =  : -35.18310341358463
292.jpg originAngle =  : -32.25841854583881
293.jpg originAngle =  : -35.982698322412276
294.jpg originAngle =  : -36.37609276637651
295.jpg originAngle =  : -37.355865853019345
298.jpg originAngle =  : -83.84083697085697
299.jpg originAngle =  : -80.35630524328252
300.jpg originAngle =  : -83.79655209830823
301.jpg originAngle =  : -82.83645253416766
325.jpg originAngle =  : -5.206982759311539
326.jpg originAngle =  : -23.338556933273484
327.jpg originAngle =  : -27.70755060012231
328.jpg originAngle =  : -28.004613670591628
329.jpg originAngle =  : -26.482253865473936
330.jpg originAngle =  : -27.52676050693675
331.jpg originAngle =  : -25.43898921525545
332.jpg originAngle =  : -23.37566299916361
333.jpg originAngle =  : -21.8976037792027
334.jpg originAngle =  : -22.36605919435967
335.jpg originAngle =  : -21.789257677517455
336.jpg originAngle =  : -30.583911919251797
337.jpg originAngle =  : -18.22735632727569
338.jpg originAngle =  : -29.36443682510239
339.jpg originAngle =  : -29.812973436497103
340.jpg originAngle =  : -30.869811996910183
341.jpg originAngle =  : -31.015739623882702
342.jpg originAngle =  : -21.24030205606342
343.jpg originAngle =  : -78.06541085974483
344.jpg originAngle =  : 42.363241573859554
345.jpg originAngle =  : -16.846748153567393
346.jpg originAngle =  : -21.94869908352698
347.jpg originAngle =  : -17.112645164784634
