1.jpg originAngle =  : 78.61853725164019
2.jpg originAngle =  : 80.77917595936208
3.jpg originAngle =  : 77.9052429229879
4.jpg originAngle =  : 77.82854179141255
5.jpg originAngle =  : 86.79051368220799
6.jpg originAngle =  : 77.41230661835121
7.jpg originAngle =  : -44.48691718248954
8.jpg originAngle =  : -60.376251248826186
9.jpg originAngle =  : 78.77754193055513
10.jpg originAngle =  : 70.42104787517088
11.jpg originAngle =  : 79.28687697720893
12.jpg originAngle =  : 58.67130713219584
13.jpg originAngle =  : 3.1335024327595824
14.jpg originAngle =  : -24.111019502550917
15.jpg originAngle =  : -15.580923848251615
16.jpg originAngle =  : 67.44275336529435
17.jpg originAngle =  : 51.483073692897236
18.jpg originAngle =  : 84.48852258397935
19.jpg originAngle =  : 20.308441836521936
20.jpg originAngle =  : -13.575334391949596
21.jpg originAngle =  : -27.864894440206633
22.jpg originAngle =  : -54.071497577177176
23.jpg originAngle =  : 78.57289840605488
24.jpg originAngle =  : 79.17254689617464
25.jpg originAngle =  : 45.74405920288871
26.jpg originAngle =  : 73.73979529168804
27.jpg originAngle =  : 59.58891873287464
28.jpg originAngle =  : -58.09984308226628
29.jpg originAngle =  : -18.57572441068109
30.jpg originAngle =  : -26.643754121414464
31.jpg originAngle =  : -24.89376520164067
32.jpg originAngle =  : 80.26055405450279
33.jpg originAngle =  : 70.30137862541972
34.jpg originAngle =  : 60.28423240965428
35.jpg originAngle =  : 9.77114237905648
36.jpg originAngle =  : 9.77114237905648
37.jpg originAngle =  : 9.880001949692877
38.jpg originAngle =  : 9.880001949692877
